date,temp_mean_day,precipitation_sum,wind_speed_max,is_weekend,weather_feel,sales_pred_7d
2026-05-18,16.6,0.0,19.7,False,favorable,390.8904
2026-05-19,18.35,0.0,14.9,False,favorable,387.91746666666614
2026-05-20,19.65,0.0,21.4,False,favorable,428.3026666666678
2026-05-21,22.450000000000003,0.0,21.6,False,favorable,429.82480000000083
2026-05-22,21.049999999999997,0.0,18.4,False,favorable,432.7220000000007
2026-05-23,21.1,0.0,16.9,True,favorable,529.5949000000006
2026-05-24,23.75,0.0,20.6,True,favorable,503.9644999999998
